1500 246792
0 1 245.2
0 9 201.63
0 15 188.32
0 18 207.25
0 20 228.28
0 24 206.63
0 28 206.07
0 29 89.81
0 31 298.52
0 40 174.0
0 42 180.65
0 45 175.57
0 50 141.03
0 57 206.69
0 60 163.32
0 62 141.4
0 63 133.14
0 66 144.81
0 68 273.77
0 76 261.01
0 97 174.0
0 99 270.15
0 103 106.4
0 115 81.84
0 122 190.65
0 124 243.82
0 127 287.93
0 128 74.24
0 131 283.52
0 133 70.06
0 136 168.29
0 148 272.24
0 152 103.25
0 159 185.37
0 162 231.25
0 166 205.65
0 169 250.31
0 174 286.09
0 179 271.96
0 180 269.74
0 181 85.91
0 183 123.58
0 185 61.4
0 189 144.62
0 193 195.11
0 196 290.4
0 201 80.31
0 208 221.53
0 210 250.06
0 212 298.43
0 213 126.19
0 215 291.76
0 218 198.96
0 228 200.9
0 231 67.54
0 234 264.8
0 235 208.22
0 236 174.04
0 241 82.86
0 249 178.49
0 254 158.38
0 258 75.96
0 262 123.41
0 268 54.04
0 270 288.11
0 271 192.44
0 274 199.12
0 278 140.46
0 280 116.09
0 283 279.25
0 285 129.53
0 289 282.45
0 292 208.28
0 296 189.28
0 312 236.12
0 319 174.45
0 331 272.15
0 336 213.23
0 337 132.03
0 339 297.84
0 348 83.24
0 352 224.59
0 354 187.49
0 355 68.0
0 359 106.68
0 367 193.46
0 371 160.08
0 375 129.25
0 383 255.67
0 386 205.18
0 391 168.67
0 394 99.81
0 397 282.46
0 401 152.59
0 403 169.96
0 411 271.81
0 412 171.82
0 413 222.81
0 417 265.17
0 420 46.62
0 427 265.35
0 428 279.02
0 430 163.03
0 444 129.0
0 445 132.31
0 450 137.71
0 453 106.57
0 454 291.59
0 462 143.4
0 466 255.2
0 470 191.38
0 477 285.96
0 479 228.28
0 483 277.58
0 498 149.31
0 501 185.21
0 503 269.61
0 504 163.98
0 507 189.07
0 509 163.25
0 510 222.83
0 518 262.91
0 525 149.21
0 528 225.73
0 529 145.21
0 530 274.61
0 540 270.56
0 542 299.82
0 545 11.4
0 547 135.68
0 562 253.14
0 565 226.31
0 573 169.14
0 574 89.96
0 575 159.3
0 576 185.44
0 578 119.4
0 581 123.31
0 583 284.29
0 585 32.39
0 590 44.78
0 591 267.09
0 603 239.41
0 607 297.36
0 609 148.06
0 612 175.41
0 619 76.66
0 636 62.94
0 641 94.58
0 644 272.02
0 645 277.13
0 648 154.3
0 653 139.18
0 658 146.25
0 660 37.01
0 668 297.41
0 671 154.01
0 674 263.88
0 676 203.91
0 680 166.74
0 683 226.06
0 698 216.76
0 712 136.0
0 713 275.86
0 716 173.4
0 717 184.46
0 731 207.12
0 732 191.26
0 739 275.05
0 741 207.09
0 745 280.09
0 748 197.4
0 749 277.55
0 750 171.74
0 756 71.81
0 783 123.49
0 792 286.06
0 797 104.68
0 804 225.79
0 807 123.04
0 813 231.11
0 824 261.77
0 832 253.31
0 835 132.98
0 843 287.54
0 844 50.16
0 849 214.35
0 850 290.69
0 851 29.41
0 853 164.61
0 857 296.47
0 858 195.15
0 862 220.91
0 863 176.4
0 864 77.62
0 870 240.62
0 874 235.72
0 885 127.03
0 891 80.06
0 893 96.33
0 896 253.16
0 904 36.4
0 919 152.03
0 920 116.0
0 921 151.33
0 923 89.94
0 924 296.7
0 928 37.34
0 930 190.39
0 931 235.85
0 937 288.69
0 942 288.17
0 943 101.65
0 948 212.2
0 954 232.86
0 965 226.32
0 966 120.34
0 968 207.52
0 976 243.51
0 981 157.84
0 987 193.05
0 989 77.62
0 990 144.94
0 996 219.8
0 999 282.08
0 1005 106.17
0 1008 166.14
0 1016 111.29
0 1017 194.99
0 1019 217.45
0 1020 267.78
0 1026 100.22
0 1027 106.21
0 1030 234.83
0 1033 209.19
0 1038 250.89
0 1041 204.88
0 1044 226.32
0 1045 153.0
0 1053 131.55
0 1054 218.05
0 1055 200.03
0 1061 181.82
0 1068 208.72
0 1069 243.02
0 1070 185.98
0 1077 147.23
0 1081 203.53
0 1084 258.91
0 1090 235.92
0 1092 275.86
0 1097 279.12
0 1102 269.92
0 1105 16.0
0 1114 259.7
0 1119 189.68
0 1121 297.0
0 1126 265.56
0 1142 210.15
0 1146 181.11
0 1147 298.97
0 1150 276.66
0 1152 271.12
0 1157 105.99
0 1159 288.45
0 1165 227.55
0 1169 40.46
0 1170 182.49
0 1182 61.4
0 1183 199.32
0 1197 296.0
0 1200 268.26
0 1204 101.41
0 1208 51.86
0 1210 112.27
0 1219 285.25
0 1222 274.65
0 1225 124.45
0 1238 75.19
0 1249 276.81
0 1252 181.01
0 1255 150.86
0 1256 188.77
0 1258 42.45
0 1262 67.78
0 1268 113.85
0 1270 167.01
0 1271 144.35
0 1277 74.33
0 1284 54.33
0 1295 260.65
0 1302 184.55
0 1303 214.25
0 1304 155.19
0 1306 173.37
0 1308 114.63
0 1318 271.67
0 1333 191.09
0 1339 131.21
0 1345 158.45
0 1354 50.29
0 1361 138.45
0 1362 239.13
0 1364 188.53
0 1369 130.97
0 1374 136.47
0 1375 272.47
0 1377 277.35
0 1380 121.08
0 1382 198.71
0 1384 126.21
0 1388 103.04
0 1392 152.27
0 1393 89.01
0 1394 257.19
0 1401 275.09
0 1406 280.94
0 1408 129.8
0 1413 49.65
0 1414 276.31
0 1415 173.83
0 1416 176.65
0 1424 219.33
0 1427 296.59
0 1428 288.78
0 1431 195.78
0 1433 262.69
0 1437 246.92
0 1441 198.96
0 1447 93.41
0 1453 257.8
0 1460 296.06
0 1462 274.18
0 1463 108.85
0 1465 293.9
0 1475 157.06
0 1479 294.55
0 1490 139.65
0 1492 142.44
0 1499 195.36
1 14 175.96
1 15 247.13
1 17 68.62
1 18 77.79
1 19 259.28
1 20 184.32
1 21 280.08
1 24 295.76
1 28 39.2
1 29 169.99
1 32 188.31
1 35 284.34
1 40 225.18
1 42 250.12
1 44 274.97
1 50 219.0
1 55 221.37
1 62 122.64
1 63 232.94
1 66 116.5
1 75 289.32
1 82 268.78
1 86 164.58
1 96 212.29
1 97 73.54
1 101 205.12
1 109 275.23
1 114 215.82
1 116 296.95
1 119 165.74
1 121 284.68
1 122 232.44
1 124 70.68
1 126 284.36
1 127 217.34
1 128 217.92
1 130 223.79
1 134 262.94
1 140 251.07
1 145 167.54
1 148 263.45
1 152 145.34
1 157 257.29
1 158 186.13
1 159 245.62
1 162 63.82
1 163 223.61
1 164 142.9
1 166 210.19
1 167 144.18
1 181 192.04
1 185 193.15
1 186 270.44
1 189 287.84
1 193 78.85
1 200 277.85
1 201 179.74
1 202 144.2
1 205 247.55
1 208 165.98
1 210 29.07
1 212 269.82
1 213 127.66
1 214 287.17
1 215 234.36
1 216 286.17
1 218 49.2
1 219 242.62
1 227 193.55
1 230 83.36
1 232 180.04
1 233 196.38
1 236 252.56
1 239 287.11
1 241 213.21
1 242 169.76
1 245 205.18
1 248 289.83
1 249 266.48
1 251 188.37
1 254 135.35
1 255 249.42
1 258 278.76
1 262 122.11
1 268 217.31
1 269 153.68
1 270 257.49
1 271 192.75
1 273 278.6
1 277 242.94
1 280 195.47
1 283 43.29
1 287 289.0
1 289 295.66
1 296 89.27
1 304 192.0
1 309 194.55
1 320 205.3
1 331 273.38
1 339 53.08
1 343 236.18
1 344 147.49
1 348 188.47
1 352 267.91
1 355 283.01
1 359 274.34
1 366 107.42
1 367 53.04
1 371 207.16
1 375 145.0
1 376 240.83
1 379 247.99
1 380 225.06
1 386 161.01
1 391 157.71
1 393 269.11
1 397 41.3
1 403 81.4
1 409 160.58
1 411 144.05
1 412 97.05
1 420 240.03
1 423 253.81
1 425 136.17
1 427 224.86
1 428 248.24
1 429 233.03
1 430 147.26
1 436 183.47
1 445 275.43
1 451 277.02
1 453 200.32
1 454 277.14
1 467 241.99
1 468 159.3
1 470 255.18
1 471 166.71
1 475 280.46
1 476 159.96
1 479 184.32
1 482 295.18
1 498 276.93
1 501 92.54
1 504 203.97
1 509 153.05
1 510 54.13
1 518 108.41
1 528 175.26
1 533 238.82
1 542 289.85
1 545 233.82
1 547 132.2
1 550 174.9
1 552 87.28
1 555 253.85
1 561 222.66
1 563 159.18
1 564 177.61
