100 150
6 36 2.825928
1 70 4.902756
90 91 4.097458
4 86 3.021347
38 68 8.853302
9 18 8.080688
2 34 1.749405
61 70 3.842850
5 96 5.703384
13 67 3.418228
67 91 1.718094
21 45 6.923553
4 33 5.799515
20 54 9.314178
13 47 4.720520
71 98 3.494720
39 96 2.364777
64 66 2.983170
24 31 7.500473
20 87 4.200455
38 82 4.059555
31 92 6.879471
37 46 3.364944
71 90 1.136780
72 90 4.228607
36 41 3.415482
9 97 8.453812
29 88 6.814240
11 88 4.008057
14 53 4.229156
28 37 7.995819
30 57 1.291275
24 40 1.540527
49 93 6.246933
15 99 4.797012
79 94 5.730026
4 26 3.550476
54 91 7.794632
6 76 1.214508
32 66 5.624008
33 99 7.529175
36 69 6.004272
4 44 6.865051
14 33 4.947113
0 78 1.778244
69 81 4.768448
64 98 2.316574
30 89 6.475586
44 85 3.563248
10 17 8.490891
56 75 5.015503
3 59 1.530365
82 92 2.625977
27 31 3.884872
58 88 7.392807
31 42 1.307205
64 97 2.534790
1 55 1.641052
14 19 9.527313
82 93 4.201691
27 49 9.261856
4 94 7.659363
7 21 5.877655
6 95 3.934174
31 63 3.544022
55 78 9.568512
29 36 2.070755
54 59 8.881042
68 89 6.824265
19 22 4.828049
20 65 5.999603
23 65 4.410431
31 73 9.905792
9 62 7.761261
26 90 2.656738
10 18 2.970810
16 51 7.520523
11 21 6.251053
5 18 9.162704
26 50 5.217514
55 84 9.129883
23 66 4.518921
80 89 4.884766
16 26 3.908356
41 44 7.188873
0 28 2.514740
6 26 9.958252
85 95 4.973892
30 58 5.946045
17 64 7.618164
6 60 8.818970
43 90 5.631424
30 85 2.353790
11 46 3.153458
21 87 3.001846
32 99 7.230072
22 97 8.377182
36 77 4.357010
56 93 1.773712
87 92 9.356201
42 48 9.985168
26 64 8.429779
81 87 8.501190
15 63 8.470978
35 56 8.573013
11 29 4.072876
8 89 9.690460
34 88 3.157440
18 51 7.682159
80 93 6.758759
60 75 4.949722
47 62 8.227493
63 76 1.266830
44 90 4.985291
70 93 8.122574
8 80 7.937042
8 76 1.757782
68 69 8.765549
40 43 3.843811
23 53 3.561325
54 79 2.171829
9 54 4.601593
25 45 5.767105
39 61 4.579895
11 97 9.520035
50 84 8.191650
18 39 2.714142
75 85 1.720154
19 60 7.761261
18 93 1.123596
35 72 1.995911
50 52 5.110947
92 97 5.553558
53 92 5.800888
19 61 1.156418
1 14 5.794846
23 95 9.051193
48 63 3.853836
67 83 7.387039
12 22 6.850906
2 4 3.000336
28 60 6.285522
74 87 7.863571
9 66 9.375290
64 65 5.380249
37 92 7.601410
39 79 1.255432
3 9 9.572632
14 74 8.841629
48 89 6.173462
