100 150
39 93 4.807587
8 57 2.942795
51 66 8.664886
7 98 7.397751
13 59 9.570709
1 50 9.659973
5 11 6.962555
8 12 8.604324
7 94 6.124435
51 56 6.191177
14 91 6.444412
75 82 3.105118
10 38 9.561783
42 78 1.714935
74 80 4.520294
3 87 7.298462
61 65 1.382736
65 78 9.902908
31 34 9.119720
67 87 7.257813
28 70 3.072845
47 80 5.826294
1 20 5.900177
56 66 8.381165
30 73 8.646484
72 74 1.411163
0 78 7.439499
5 17 2.212067
4 50 9.300720
12 13 7.687927
10 92 6.662766
73 90 5.683060
38 98 4.428009
33 83 3.090836
5 27 7.753159
18 44 4.030304
19 69 1.237991
32 53 9.051331
77 78 1.797607
75 80 6.631042
42 80 5.239075
26 86 5.140335
55 94 6.416672
75 86 2.011841
47 49 3.829391
45 96 1.006729
32 34 9.628937
20 22 3.280075
10 77 6.362427
41 95 9.199371
69 83 6.225098
43 75 3.128052
12 54 9.264740
17 81 5.722473
12 58 6.344299
62 72 3.928955
39 52 5.689651
7 91 5.037888
21 26 8.451752
14 77 4.437210
37 93 9.791122
76 93 7.228287
15 33 6.732391
12 36 1.245270
71 82 6.701767
76 77 3.649353
30 75 6.539032
44 93 1.318466
16 32 1.601776
4 95 3.058426
24 26 4.727112
41 63 6.565262
47 51 9.681534
22 75 8.620529
59 95 5.705994
69 87 5.166977
49 51 7.881012
41 76 3.713623
22 66 8.263611
16 64 7.938690
95 99 9.113129
25 71 3.406555
92 97 8.001724
60 62 2.986191
4 79 9.221756
35 96 2.857513
6 25 8.628906
37 84 1.909805
7 42 6.924652
48 88 4.886826
68 86 8.364960
66 69 8.805786
25 64 8.989532
46 62 2.968887
46 82 8.702789
21 30 4.314301
47 85 4.895477
1 25 2.897339
12 92 2.780746
1 38 9.963333
13 70 3.228302
88 89 4.372940
54 97 8.614075
10 82 1.061386
24 74 6.061127
4 81 7.761124
58 92 5.435730
29 91 3.385132
27 36 4.567261
2 67 3.273209
37 41 9.396713
34 90 6.915039
48 62 7.120483
15 39 7.819489
20 74 2.875504
46 76 4.867599
3 97 3.126541
53 97 7.782410
47 99 7.646591
11 88 7.274429
45 73 8.841766
9 20 7.963959
74 77 7.159760
15 81 4.358383
1 33 8.424011
23 71 8.953415
57 67 8.176956
60 85 7.956131
8 81 8.469055
28 41 5.167114
5 50 1.019501
4 59 2.238022
7 65 1.280975
12 49 5.810913
6 30 9.675079
1 58 3.974686
51 72 1.127579
40 87 9.013565
44 45 9.012878
31 63 9.600647
77 83 2.728973
31 93 3.382523
0 11 8.358917
51 71 2.324402
24 56 8.231339
14 47 8.231613
40 70 3.535782
21 57 7.915482
14 61 1.730179
44 46 1.632401
