200 400
24 132 8.455734
159 182 7.017075
166 167 6.220566
114 159 5.531586
130 143 8.149216
44 116 7.710312
67 120 5.450012
134 174 6.406097
81 149 5.267639
140 187 7.062668
4 189 5.359238
38 89 4.682205
134 181 2.044662
2 83 9.490784
52 159 3.743973
49 141 6.217682
34 146 9.901810
90 141 4.577011
58 183 2.706039
120 125 4.835190
25 32 6.743515
56 69 4.273239
159 192 1.595734
144 198 9.893707
83 178 4.359482
5 81 2.902283
46 92 2.188721
160 174 2.281693
78 82 3.187927
80 140 6.205872
99 118 1.346756
7 33 1.082260
42 66 7.687790
86 133 5.688553
12 85 9.413879
5 130 9.159821
53 182 5.569489
9 84 8.510391
41 70 6.595474
89 190 1.918869
38 128 3.136429
160 192 8.174622
9 39 1.573212
93 191 6.485199
45 88 1.984650
65 107 6.263275
121 138 5.603134
37 139 3.557755
86 159 9.312943
15 155 6.469406
135 174 5.349350
125 131 5.183182
114 122 3.091385
7 72 1.176193
1 98 8.700592
128 174 4.702530
28 114 7.339935
44 57 6.833054
108 191 3.822525
37 67 8.119141
52 71 9.765854
3 21 6.378220
45 53 4.694016
108 179 5.138412
35 90 3.010910
43 105 7.958603
162 164 5.376953
10 118 8.130264
30 193 7.757828
99 169 6.196396
36 136 7.271545
87 150 8.262512
106 117 7.946106
59 184 1.252686
82 168 4.606125
151 187 4.056671
98 176 7.347351
18 124 5.937531
4 105 2.409546
131 177 5.615631
76 171 2.749573
11 180 7.117325
52 135 6.220428
74 131 7.772797
18 143 2.001266
35 89 9.669037
15 179 3.778580
28 181 6.413376
50 160 8.164871
37 103 3.230774
0 46 3.952301
12 175 6.218094
143 186 8.029190
94 105 7.000183
22 63 9.149658
194 198 4.077545
64 82 3.231461
39 183 5.828903
7 30 4.463165
4 13 4.429245
64 76 5.239349
25 173 4.863892
81 98 1.800766
69 119 5.766968
104 163 5.440948
149 186 6.986313
16 190 6.249130
28 119 5.570450
133 163 3.595657
156 182 5.296890
95 123 7.909027
142 174 6.893341
11 107 1.897995
92 183 5.547791
23 149 8.965225
15 105 1.873413
92 181 1.222473
51 111 7.026962
106 147 7.731323
138 180 9.453293
81 92 7.160172
51 183 2.243927
15 82 8.127655
146 174 9.315689
116 156 8.230240
35 63 7.348450
35 64 5.792236
71 144 5.906357
2 175 7.051544
1 5 5.776306
8 197 6.793091
158 167 4.289581
83 142 6.358444
73 172 9.255264
27 154 8.512177
59 70 6.115097
13 168 7.814957
53 166 5.043381
84 113 7.950363
115 149 9.942459
194 197 7.874695
75 116 7.653320
21 92 3.705658
96 106 9.175888
93 106 1.938232
20 114 1.309952
126 143 2.872070
118 186 7.858215
61 77 8.057205
34 195 9.393005
25 107 8.111588
69 80 2.574341
24 192 4.435425
69 155 5.113419
52 109 5.146378
151 186 4.713516
76 182 7.976456
14 139 7.675018
193 199 6.924927
121 149 6.341965
11 36 8.128479
11 175 6.169754
58 194 3.708267
8 70 8.934052
44 154 1.276031
32 80 1.457169
95 130 1.328491
42 167 9.212830
93 153 1.928070
143 156 6.279617
176 179 5.870239
2 136 7.350647
136 176 5.953873
4 51 5.860077
109 119 2.022827
10 161 3.778854
135 179 7.114990
38 188 7.235428
72 176 8.354523
11 184 4.856064
112 164 6.143936
56 65 8.573975
109 127 4.758972
115 172 3.647018
44 194 5.621262
67 135 7.726791
101 125 4.323364
148 184 1.060287
32 184 1.897034
68 102 7.264404
25 134 1.868469
94 130 6.595200
2 101 3.311798
4 83 9.246887
123 169 8.410828
42 96 2.947876
17 180 4.962219
0 22 1.979019
66 100 2.795715
27 113 2.728012
36 45 3.265106
76 137 3.999130
75 158 9.753906
23 160 1.533112
125 141 7.567902
64 193 5.553284
11 84 9.628250
65 109 9.633881
59 60 6.055084
92 137 8.185745
33 182 6.221664
25 49 4.012177
8 147 4.178207
57 179 7.154404
48 178 4.179993
53 110 2.575439
32 46 3.316879
117 164 6.369156
69 129 2.089569
148 157 8.033173
88 114 1.096817
9 123 4.997925
7 27 3.415482
49 86 7.859314
29 74 8.628357
106 123 3.185730
106 143 5.183594
1 112 7.430023
59 96 9.293854
153 167 6.345535
14 60 7.752472
35 121 1.812164
77 81 9.334641
119 183 3.953537
99 133 7.869751
117 183 7.391846
93 102 1.755722
40 75 5.359650
64 134 9.790436
38 168 5.108749
68 152 9.295227
115 141 2.730347
138 158 8.683426
138 151 3.604858
51 107 2.420120
61 161 6.938385
29 155 6.741592
88 168 3.198227
57 195 2.553192
16 136 2.748474
39 78 1.589279
82 160 3.591537
94 99 1.223572
13 161 2.860672
181 192 3.235855
27 129 3.563660
141 155 3.386780
65 113 5.063980
142 163 9.827789
186 194 3.896957
47 120 8.168579
117 128 7.748764
114 134 7.445129
26 125 6.788559
32 119 1.279877
83 127 5.028824
25 129 5.197327
40 44 4.995041
67 145 6.353912
19 101 8.723389
145 158 8.864426
81 181 7.963409
106 177 8.454224
8 92 9.447113
73 92 7.335266
31 168 4.006409
150 182 5.060959
63 101 1.093521
8 91 7.091919
28 29 8.399704
11 89 8.731354
30 149 2.998962
28 53 3.545120
73 119 5.512085
133 183 2.849274
145 146 4.617661
35 185 1.496857
25 163 3.406143
121 165 3.058701
107 167 9.347137
136 177 2.744492
42 98 9.447388
83 137 9.643906
172 189 8.589493
2 194 5.226715
66 88 8.094421
170 189 1.527206
122 148 2.220993
175 182 9.043777
29 44 6.610580
21 99 2.124451
55 162 2.609360
94 113 5.461960
80 117 6.947723
92 198 3.311935
108 127 6.425873
88 193 5.153931
73 88 5.052582
86 163 8.507370
73 136 8.921005
54 139 1.842926
6 61 5.821762
37 71 6.012100
64 196 4.152252
43 94 1.108490
21 64 6.419281
90 146 4.124649
28 50 7.266464
85 174 5.581436
129 181 3.854660
95 199 7.556366
168 175 1.388641
84 136 4.429382
69 153 3.119125
175 197 9.093765
74 177 5.511673
3 92 8.420853
108 114 6.755051
39 46 4.442841
87 113 7.391434
1 70 9.012192
63 91 7.588364
46 145 8.620804
3 176 5.426941
13 27 7.606079
20 143 4.144699
6 75 8.774200
115 122 9.232330
29 42 4.970734
24 89 3.266617
50 135 6.945389
95 132 9.900574
5 38 6.201340
66 189 1.505508
49 183 1.141449
148 159 6.874390
90 198 7.471085
97 196 4.727249
65 130 9.569748
73 99 7.117737
148 155 5.571274
131 145 6.019653
3 53 3.995422
21 161 9.163116
26 103 4.012039
80 184 4.616013
100 128 4.778061
74 115 5.651749
49 199 4.769135
13 112 6.114548
2 123 3.641800
46 97 8.795074
55 103 8.890656
