20 50
3 10 7.085739
3 15 3.117203
2 13 9.680298
0 2 8.916611
5 13 7.297775
3 17 4.198807
16 18 6.652466
13 14 8.918808
8 9 3.546082
11 15 4.165573
1 4 5.138275
0 6 9.589935
5 14 9.344528
12 14 1.463211
0 17 5.470200
12 13 6.097107
1 14 2.381668
0 19 7.839264
4 15 3.993912
5 12 7.544006
5 7 7.044952
11 13 4.215286
13 16 9.362930
2 3 3.187515
0 16 2.289108
6 13 5.599152
7 15 4.710220
18 19 3.059799
7 12 8.621216
3 13 3.289139
3 7 9.665604
10 12 1.311050
12 17 4.352341
1 18 8.877747
13 17 7.576141
15 17 8.851517
3 5 6.718384
4 13 7.727341
0 5 4.784241
4 5 1.070862
2 11 6.853378
8 19 6.330566
5 11 7.628189
0 7 6.079254
10 17 3.677368
8 18 9.776703
1 10 1.048889
14 18 9.978714
10 19 2.221268
14 15 9.136337
